region,year,cumulative_market_share
Sub-Saharan Africa,0,0.0
Sub-Saharan Africa,1,0.002161409190040002
Sub-Saharan Africa,2,0.005400235127203314
Sub-Saharan Africa,3,0.010215466222339662
Sub-Saharan Africa,4,0.01729117836809657
Sub-Saharan Africa,5,0.02751195396059868
Sub-Saharan Africa,6,0.04191624913393317
Sub-Saharan Africa,7,0.061526704984397024
Sub-Saharan Africa,8,0.08700498439282403
Sub-Saharan Africa,9,0.11816813080081473
Sub-Saharan Africa,10,0.15358928036012945
Sub-Saharan Africa,11,0.19064525198649085
Sub-Saharan Africa,12,0.22619489560905373
Sub-Saharan Africa,13,0.2575754855335043
Sub-Saharan Africa,14,0.28330448362192406
Sub-Saharan Africa,15,0.3031527789475144
Sub-Saharan Africa,16,0.3177567061064307
Sub-Saharan Africa,17,0.3281319702571006
Sub-Saharan Africa,18,0.33532088480929356
Sub-Saharan Africa,19,0.340216081709353
Sub-Saharan Africa,20,0.34351002940190056
Southeast Asia,0,0.0
Southeast Asia,1,0.006195427654602737
Southeast Asia,2,0.014698395113467294
Southeast Asia,3,0.026240616439883534
Southeast Asia,4,0.04167651645785397
Southeast Asia,5,0.06191300066673061
Southeast Asia,6,0.08776216440389512
Southeast Asia,7,0.11970590573444438
Southeast Asia,8,0.1576053204873522
Southeast Asia,9,0.2004568450774404
Southeast Asia,10,0.24634783565664162
Southeast Asia,11,0.2927236516891038
Southeast Asia,12,0.3369213982785118
Southeast Asia,13,0.3767519067264314
Southeast Asia,14,0.41087744711974195
Southeast Asia,15,0.43887165189359
Southeast Asia,16,0.4610287579390429
Southeast Asia,17,0.47807425560122097
Southeast Asia,18,0.49090275351173707
Southeast Asia,19,0.5003989529164745
Southeast Asia,20,0.5073426140999031
Latin America,0,0.0
Latin America,1,0.0031749923078721034
Latin America,2,0.007330384306215367
Latin America,3,0.012738891501233467
Latin America,4,0.019727916395385722
Latin America,5,0.0286757970853391
Latin America,6,0.03999625054229543
Latin America,7,0.054105033018450883
Latin America,8,0.07136368245657189
Latin America,9,0.09199969877999496
Latin America,10,0.11601211301391291
Latin America,11,0.14308501042440974
Latin America,12,0.17254318010775327
Latin America,13,0.20338326174479385
Latin America,14,0.23439266385199076
Latin America,15,0.26433219898459
Latin America,16,0.2921272107271996
Latin America,17,0.3170075722110442
Latin America,18,0.3385625646853092
Latin America,19,0.35671402117549994
Latin America,20,0.37163752872496514
