loan_id,vintage_year,net_monthly_income,essential_spending,existing_debt_payment,principal,annual_rate,term_months,utilisation,prior_arrears,default_12m
SYN-2022-0000,2022,4318.19,1863.93,804.22,20000,0.1429,24,0.8511,0,0
SYN-2022-0001,2022,4136.71,1484.69,510.86,6000,0.1715,36,0.6771,0,0
SYN-2022-0002,2022,2820.63,1797.48,256.24,10000,0.1793,60,0.7117,0,0
SYN-2022-0003,2022,4479.01,2689.92,331.36,4000,0.1692,24,0.4645,0,0
SYN-2022-0004,2022,3716.84,1934.67,244.11,20000,0.1114,48,0.8062,0,0
SYN-2022-0005,2022,4236.37,2197.48,815.1,10000,0.0855,24,0.7193,0,0
SYN-2022-0006,2022,1688.85,840.77,104.39,20000,0.1211,24,0.0985,0,0
SYN-2022-0007,2022,3453.78,1634.36,195.68,4000,0.1787,36,0.2787,0,0
SYN-2022-0008,2022,4960.77,2280.6,1087.54,20000,0.0865,36,0.2199,0,0
SYN-2022-0009,2022,3664.96,1717.26,263.53,15000,0.1452,60,0.266,0,0
SYN-2022-0010,2022,1920.83,998.56,174.74,10000,0.0816,36,0.8226,1,1
SYN-2022-0011,2022,1667.84,699.3,309.28,6000,0.1741,60,0.608,0,0
SYN-2022-0012,2022,3416.81,2175.19,210.87,20000,0.1076,48,0.582,1,0
SYN-2022-0013,2022,2335.04,1097.24,169.37,15000,0.1529,36,0.5645,0,1
SYN-2022-0014,2022,1831.93,822.85,268.14,6000,0.1458,24,0.4261,0,0
SYN-2022-0015,2022,4019.89,1981.45,663.2,6000,0.1319,36,0.2193,1,0
SYN-2022-0016,2022,3573.44,1671.23,539.49,15000,0.1451,24,0.2343,0,0
SYN-2022-0017,2022,4327.69,2364.34,798.69,10000,0.123,24,0.6175,0,0
SYN-2022-0018,2022,2405.97,1176.87,596.72,20000,0.1131,36,0.3072,0,0
SYN-2022-0019,2022,4828.89,2134.31,1032.29,10000,0.1137,60,0.6026,0,0
SYN-2022-0020,2022,3594.74,1729.49,663.01,20000,0.1033,60,0.7216,0,0
SYN-2022-0021,2022,4550.66,2862.29,1126.2,4000,0.1186,36,0.588,0,0
SYN-2022-0022,2022,3510.03,1705.23,873.45,4000,0.0883,60,0.666,0,0
SYN-2022-0023,2022,4143.02,2415.71,470.66,6000,0.1762,48,0.4816,0,0
SYN-2022-0024,2022,3135.93,1122.62,549.88,20000,0.1306,36,0.5486,0,0
SYN-2022-0025,2022,2044.73,882.98,405.57,6000,0.1051,36,0.1428,0,0
SYN-2022-0026,2022,1769.71,664.71,241.48,10000,0.1772,24,0.3239,0,0
SYN-2022-0027,2022,2042.6,1042.72,162.01,15000,0.0962,24,0.216,0,0
SYN-2022-0028,2022,5047.89,3167.09,218.39,4000,0.1277,36,0.4797,0,0
SYN-2022-0029,2022,2837.3,1104.66,595.23,10000,0.134,60,0.1571,0,0
SYN-2022-0030,2022,2538.8,1387.54,214.28,10000,0.1624,24,0.5573,0,0
SYN-2022-0031,2022,3047.16,1437.42,685.45,6000,0.1711,48,0.2185,0,0
SYN-2022-0032,2022,4189.0,1485.42,207.9,10000,0.0843,36,0.2044,0,0
SYN-2022-0033,2022,4912.77,1766.24,1069.18,10000,0.1085,48,0.7067,0,0
SYN-2022-0034,2022,1930.96,801.8,226.58,4000,0.1636,24,0.7673,0,0
SYN-2022-0035,2022,4659.74,2239.33,950.0,15000,0.1617,60,0.6659,0,0
SYN-2022-0036,2022,2444.96,876.82,100.66,20000,0.1647,24,0.4967,0,0
SYN-2022-0037,2022,5037.95,2938.14,723.54,4000,0.1721,60,0.6432,0,0
