date,history_end,model,confidence,loss,var,es
2002-12-27,2002-12-26,Historical 250d,0.95,1.615838474,2.510778923,3.214489962
2002-12-27,2002-12-26,Normal 1000d,0.95,1.615838474,2.327349373,2.910400149
2002-12-27,2002-12-26,GARCH-t 1000d,0.95,1.615838474,1.991207723,2.595607815
2002-12-27,2002-12-26,Historical 250d,0.99,1.615838474,3.489795704,3.959186159
2002-12-27,2002-12-26,Normal 1000d,0.99,1.615838474,3.27825764,3.751087472
2002-12-27,2002-12-26,GARCH-t 1000d,0.99,1.615838474,2.962544957,3.53727173
2002-12-30,2002-12-27,Historical 250d,0.95,-0.4547550177,2.510778923,3.214489962
2002-12-30,2002-12-27,Normal 1000d,0.95,-0.4547550177,2.330662946,2.9138023
2002-12-30,2002-12-27,GARCH-t 1000d,0.95,-0.4547550177,2.06094789,2.686740229
2002-12-30,2002-12-27,Historical 250d,0.99,-0.4547550177,3.489795704,3.959186159
2002-12-30,2002-12-27,Normal 1000d,0.99,-0.4547550177,3.281715676,3.754617341
2002-12-30,2002-12-27,GARCH-t 1000d,0.99,-0.4547550177,3.066664812,3.66173357
2002-12-31,2002-12-30,Historical 250d,0.95,-0.04888467019,2.510778923,3.214489962
2002-12-31,2002-12-30,Normal 1000d,0.95,-0.04888467019,2.329615546,2.912048024
2002-12-31,2002-12-30,GARCH-t 1000d,0.95,-0.04888467019,1.998662509,2.605349298
2002-12-31,2002-12-30,Historical 250d,0.99,-0.04888467019,3.489795704,3.959186159
2002-12-31,2002-12-30,Normal 1000d,0.99,-0.04888467019,3.27951542,3.751843838
2002-12-31,2002-12-30,GARCH-t 1000d,0.99,-0.04888467019,2.973674716,3.55057592
2003-01-02,2002-12-31,Historical 250d,0.95,-3.266077978,2.510778923,3.214489962
2003-01-02,2002-12-31,Normal 1000d,0.95,-3.266077978,2.32934888,2.911778198
2003-01-02,2002-12-31,GARCH-t 1000d,0.95,-3.266077978,1.929705608,2.51524041
2003-01-02,2002-12-31,Historical 250d,0.99,-3.266077978,3.489795704,3.959186159
2003-01-02,2002-12-31,Normal 1000d,0.99,-3.266077978,3.2792436,3.751569456
2003-01-02,2002-12-31,GARCH-t 1000d,0.99,-3.266077978,2.870724253,3.427511937
2003-01-03,2003-01-02,Historical 250d,0.95,0.04841517974,2.510778923,3.214489962
2003-01-03,2003-01-02,Normal 1000d,0.95,0.04841517974,2.332809518,2.91684068
2003-01-03,2003-01-02,GARCH-t 1000d,0.95,0.04841517974,2.412908595,3.146662111
