model,forecast,lower,upper,quarter,history_end,actual,split
ARIMA,2.908430005,-4.542423046,10.35928306,1990Q1,1989Q4,4.157010791,validation
VAR,2.589154139,-4.541505342,9.71981362,1990Q1,1989Q4,4.157010791,validation
VECM,2.589154139,-4.453287602,9.63159588,1990Q1,1989Q4,4.157010791,validation
Historical mean,3.497324401,,,1990Q1,1989Q4,4.157010791,validation
Random walk,0,,,1990Q1,1989Q4,4.157010791,validation
ARIMA,3.309483317,-4.114556096,10.73352273,1990Q2,1990Q1,1.586596119,validation
VAR,3.163194811,-3.943164009,10.26955363,1990Q2,1990Q1,1.586596119,validation
VECM,3.163194811,-3.85596612,10.18235574,1990Q2,1990Q1,1.586596119,validation
Historical mean,3.502644452,,,1990Q2,1990Q1,1.586596119,validation
Random walk,0,,,1990Q2,1990Q1,1.586596119,validation
ARIMA,3.191668093,-4.208642577,10.59197876,1990Q3,1990Q2,-0.006054938392,validation
VAR,2.240116086,-4.842338127,9.322570298,1990Q3,1990Q2,-0.006054938392,validation
VECM,2.240116086,-4.756138718,9.236370889,1990Q3,1990Q2,-0.006054938392,validation
Historical mean,3.487316065,,,1990Q3,1990Q2,-0.006054938392,validation
Random walk,0,,,1990Q3,1990Q2,-0.006054938392,validation
ARIMA,2.487843585,-4.903874874,9.879562045,1990Q4,1990Q3,-3.51998802,validation
VAR,2.359606119,-4.704872342,9.424084579,1990Q4,1990Q3,-3.51998802,validation
VECM,2.359606119,-4.619583761,9.338795998,1990Q4,1990Q3,-3.51998802,validation
Historical mean,3.459590899,,,1990Q4,1990Q3,-3.51998802,validation
Random walk,0,,,1990Q4,1990Q3,-3.51998802,validation
ARIMA,1.41412952,-6.020916479,8.849175519,1991Q1,1990Q4,-1.942405825,validation
VAR,-0.1683579212,-7.279284393,6.942568551,1991Q1,1990Q4,-1.942405825,validation
VECM,-0.1683579212,-7.194120525,6.857404682,1991Q1,1990Q4,-1.942405825,validation
Historical mean,3.404633584,,,1991Q1,1990Q4,-1.942405825,validation
Random walk,0,,,1991Q1,1990Q4,-1.942405825,validation
ARIMA,1.186360097,-6.241357176,8.614077369,1991Q2,1991Q1,2.690648084,validation
VAR,0.8102788284,-6.27847753,7.899035186,1991Q2,1991Q1,2.690648084,validation
VECM,0.8102788284,-6.194251692,7.814809348,1991Q2,1991Q1,2.690648084,validation
Historical mean,3.362859839,,,1991Q2,1991Q1,2.690648084,validation
Random walk,0,,,1991Q2,1991Q1,2.690648084,validation
ARIMA,2.510691886,-4.892724803,9.914108575,1991Q3,1991Q2,1.681455919,validation
VAR,3.050658808,-4.017167546,10.11848516,1991Q3,1991Q2,1.681455919,validation
VECM,3.050658808,-3.933850375,10.03516799,1991Q3,1991Q2,1.681455919,validation
Historical mean,3.357648895,,,1991Q3,1991Q2,1.681455919,validation
Random walk,0,,,1991Q3,1991Q2,1.681455919,validation
ARIMA,2.886071458,-4.490144926,10.26228784,1991Q4,1991Q3,1.564976916,validation
VAR,2.232874471,-4.810874973,9.276623915,1991Q4,1991Q3,1.564976916,validation
VECM,2.232874471,-4.728489104,9.194238046,1991Q4,1991Q3,1.564976916,validation
Historical mean,3.344755103,,,1991Q4,1991Q3,1.564976916,validation
Random walk,0,,,1991Q4,1991Q3,1.564976916,validation
ARIMA,2.711565518,-4.639854607,10.06298564,1992Q1,1991Q4,4.366683899,validation
VAR,1.301232501,-5.715681902,8.318146904,1992Q1,1991Q4,4.366683899,validation
VECM,1.301232501,-5.634244934,8.236709936,1992Q1,1991Q4,4.366683899,validation
Historical mean,3.33116901,,,1992Q1,1991Q4,4.366683899,validation
Random walk,0,,,1992Q1,1991Q4,4.366683899,validation
ARIMA,3.35115155,-3.977769003,10.6800721,1992Q2,1992Q1,4.227742106,validation
VAR,5.052071245,-1.957125789,12.06126828,1992Q2,1992Q1,4.227742106,validation
VECM,5.052071245,-1.876402977,11.98054547,1992Q2,1992Q1,4.227742106,validation
Historical mean,3.33901382,,,1992Q2,1992Q1,4.227742106,validation
Random walk,0,,,1992Q2,1992Q1,4.227742106,validation
ARIMA,3.700605888,-3.602223997,11.00343577,1992Q3,1992Q2,4.106167144,validation
VAR,2.678225462,-4.305172864,9.661623788,1992Q3,1992Q2,4.106167144,validation
VECM,2.678225462,-4.225359976,9.5818109,1992Q3,1992Q2,4.106167144,validation
Historical mean,3.345695987,,,1992Q3,1992Q2,4.106167144,validation
Random walk,0,,,1992Q3,1992Q2,4.106167144,validation
ARIMA,3.65761503,-3.618225358,10.93345542,1992Q4,1992Q3,4.187451436,validation
VAR,3.764926304,-3.195840733,10.72569334,1992Q4,1992Q3,4.187451436,validation
VECM,3.764926304,-3.11688808,10.64674069,1992Q4,1992Q3,4.187451436,validation
Historical mean,3.351371145,,,1992Q4,1992Q3,4.187451436,validation
Random walk,0,,,1992Q4,1992Q3,4.187451436,validation
ARIMA,3.664244701,-3.585137735,10.91362714,1993Q1,1992Q4,0.7344551911,validation
VAR,4.009757756,-2.924764999,10.94428051,1993Q1,1992Q4,0.7344551911,validation
VECM,4.009757756,-2.846700342,10.86621585,1993Q1,1992Q4,0.7344551911,validation
Historical mean,3.357564333,,,1993Q1,1992Q4,0.7344551911,validation
Random walk,0,,,1993Q1,1992Q4,0.7344551911,validation
ARIMA,2.864273498,-4.375094123,10.10364112,1993Q2,1993Q1,2.550998899,validation
VAR,2.31916182,-4.611402626,9.249726266,1993Q2,1993Q1,2.550998899,validation
VECM,2.31916182,-4.533963722,9.172287361,1993Q2,1993Q1,2.550998899,validation
Historical mean,3.338276765,,,1993Q2,1993Q1,2.550998899,validation
Random walk,0,,,1993Q2,1993Q1,2.550998899,validation
ARIMA,2.819485344,-4.393600603,10.03257129,1993Q3,1993Q2,2.100096477,validation
VAR,3.456860296,-3.447711411,10.361432,1993Q3,1993Q2,2.100096477,validation
VECM,3.456860296,-3.371133386,10.28485398,1993Q3,1993Q2,2.100096477,validation
Historical mean,3.332530212,,,1993Q3,1993Q2,2.100096477,validation
Random walk,0,,,1993Q3,1993Q2,2.100096477,validation
ARIMA,2.950571679,-4.237311504,10.13845486,1993Q4,1993Q3,5.247786796,validation
VAR,3.710443523,-3.17211947,10.59300652,1993Q4,1993Q3,5.247786796,validation
VECM,3.710443523,-3.096345825,10.51723287,1993Q4,1993Q3,5.247786796,validation
Historical mean,3.323599532,,,1993Q4,1993Q3,5.247786796,validation
Random walk,0,,,1993Q4,1993Q3,5.247786796,validation
ARIMA,3.624996345,-3.547075874,10.79706856,1994Q1,1993Q4,3.875301385,validation
VAR,3.285318859,-3.576554596,10.14719231,1994Q1,1993Q4,3.875301385,validation
VECM,3.285318859,-3.501559191,10.07219691,1994Q1,1993Q4,3.875301385,validation
Historical mean,3.337442606,,,1994Q1,1993Q4,3.875301385,validation
Random walk,0,,,1994Q1,1993Q4,3.875301385,validation
ARIMA,3.731697808,-3.414833738,10.87822935,1994Q2,1994Q1,5.434279521,validation
VAR,3.768530179,-3.068780905,10.60584126,1994Q2,1994Q1,5.434279521,validation
VECM,3.768530179,-2.994594502,10.53165486,1994Q2,1994Q1,5.434279521,validation
Historical mean,3.341284455,,,1994Q2,1994Q1,5.434279521,validation
Random walk,0,,,1994Q2,1994Q1,5.434279521,validation
ARIMA,3.918047757,-3.208560465,11.04465598,1994Q3,1994Q2,2.568161583,validation
VAR,2.993833609,-3.824141407,9.811808625,1994Q3,1994Q2,2.568161583,validation
VECM,2.993833609,-3.750696087,9.738363305,1994Q3,1994Q2,2.568161583,validation
Historical mean,3.356128391,,,1994Q3,1994Q2,2.568161583,validation
Random walk,0,,,1994Q3,1994Q2,2.568161583,validation
ARIMA,3.465784007,-3.639151113,10.57071913,1994Q4,1994Q3,4.417910997,validation
VAR,3.143273157,-3.650320596,9.936866911,1994Q4,1994Q3,4.417910997,validation
VECM,3.143273157,-3.577659751,9.864206065,1994Q4,1994Q3,4.417910997,validation
Historical mean,3.350579329,,,1994Q4,1994Q3,4.417910997,validation
Random walk,0,,,1994Q4,1994Q3,4.417910997,validation
ARIMA,3.505251991,-3.576484979,10.58698896,1995Q1,1994Q4,0.9800960027,validation
VAR,3.517802663,-3.254601009,10.29020634,1995Q1,1994Q4,0.9800960027,validation
VECM,3.517802663,-3.18267964,10.21828497,1995Q1,1994Q4,0.9800960027,validation
Historical mean,3.358043187,,,1995Q1,1994Q4,0.9800960027,validation
Random walk,0,,,1995Q1,1994Q4,0.9800960027,validation
ARIMA,2.967745249,-4.101306709,10.03679721,1995Q2,1995Q1,0.8589298171,validation
VAR,1.72335119,-5.037803278,8.484505658,1995Q2,1995Q1,0.8589298171,validation
VECM,1.72335119,-4.96650616,8.41320854,1995Q2,1995Q1,0.8589298171,validation
Historical mean,3.341529665,,,1995Q2,1995Q1,0.8589298171,validation
Random walk,0,,,1995Q2,1995Q1,0.8589298171,validation
ARIMA,2.45373427,-4.599135396,9.506603936,1995Q3,1995Q2,3.347755385,validation
VAR,3.190461066,-3.548164372,9.929086503,1995Q3,1995Q2,3.347755385,validation
VECM,3.190461066,-3.477600905,9.858523036,1995Q3,1995Q2,3.347755385,validation
Historical mean,3.324408287,,,1995Q3,1995Q2,3.347755385,validation
Random walk,0,,,1995Q3,1995Q2,3.347755385,validation
ARIMA,3.009963535,-4.020242213,10.04016928,1995Q4,1995Q3,2.779192494,validation
VAR,3.313999083,-3.400906151,10.02890432,1995Q4,1995Q3,2.779192494,validation
VECM,3.313999083,-3.33107855,9.959076715,1995Q4,1995Q3,2.779192494,validation
Historical mean,3.324568198,,,1995Q4,1995Q3,2.779192494,validation
Random walk,0,,,1995Q4,1995Q3,2.779192494,validation
ARIMA,3.213314562,-3.793035833,10.21966496,1996Q1,1995Q4,2.730689119,validation
