split,model,n,rmse,mae,bias,interval_coverage
test,ARIMA,39,2.658655781,1.961524162,1.072059638,0.9487179487
test,Historical mean,39,3.12955488,2.183880703,1.625860886,
test,Random walk,39,3.184382194,2.6549336,-1.692470043,
test,VAR,39,2.376434907,1.784630983,0.9830890835,0.9743589744
test,VECM,39,2.376434907,1.784630983,0.9830890835,0.9743589744
validation,ARIMA,40,1.961194083,1.531916417,0.01785392953,1
validation,Historical mean,40,2.179058334,1.606848242,0.1024466844,
validation,Random walk,40,3.917385229,3.54027834,-3.266855901,
validation,VAR,40,1.891687937,1.445587022,-0.06772675567,1
validation,VECM,40,1.891687937,1.445587022,-0.06772675567,1
