trades,win_rate_pct,payoff,profit_factor,expectancy_cash,total_return_pct,average_exposure_pct,gap_affected_positions,candidate_signals,rejected_signals,costs,accounting_error,max_drawdown_pct,cagr_pct,config,cost_multiplier,worst_month_pct,worst_year_pct,longest_losing_streak,daily_time_underwater_max_days,turnover_over_mean_equity,daily_max_drawdown_pct,mean_net_r,bootstrap_draws,bootstrap_pf_undefined_draws,bootstrap_block_months,buy_hold_return_pct,exposure_scaled_buy_hold_return_pct
448,40.401785714285715,1.4534203154839618,0.9852774423318242,-0.2706122798907821,-1.2123430139106883,2.649149549458643,2,550,102,0.0,1.8189894035458565e-12,-10.421749022769522,-0.1827955000850534,H-1h-rsi-fixed1.5,0,-3.4782476605542345,-2.713213108059076,8,1594,209.1822021493562,-10.305776591752025,-0.015142632405785662,2000.0,0.0,3.0,992.1288240559036,26.282976272526305
438,38.35616438356164,1.1638813280212295,0.7241928263243205,-5.3559962502355205,-23.45926357603163,2.568146080816145,2,550,112,2188.4857813478493,-5.4569682106375694e-12,-25.65519164794776,-3.930861659987561,H-1h-rsi-fixed1.5,1,-3.6307529715936204,-7.464191693509791,8,2055,199.72727652795146,-25.49804836006866,-0.19371252263396643,2000.0,0.0,3.0,989.5108569622753,25.412084292326924
299,37.792642140468224,0.9985060148636171,0.6066192455891867,-9.2755565873017,-27.733914196031982,1.8763070814682878,2,550,251,2724.297615941567,1.000444171950221e-11,-29.352720597868952,-4.755439996235222,H-1h-rsi-fixed1.5,2,-3.3841468174822364,-7.910887641229792,7,2265,129.7428577813996,-29.183029502503864,-0.2507354307967154,2000.0,0.0,3.0,986.899161075319,18.517258846207334
416,36.05769230769231,1.8828942890410414,1.0617824938201361,1.249023191822654,5.195936477982355,3.156494548686008,2,550,134,0.0,1.1823431123048067e-11,-10.029025335313413,0.7627112405928838,H-1h-rsi-fixed2,0,-3.0450967699803266,-1.7431852685615978,8,1947,194.21844127546458,-9.809387876075037,0.023240843425475968,2000.0,0.0,3.0,992.1288240559036,31.316492247267195
417,34.05275779376499,1.5623069308599187,0.8067184879349396,-4.103306477994553,-17.110788013237112,3.060287772996733,2,550,133,2182.594063726432,1.8189894035458565e-11,-23.55759600538354,-2.775727612493284,H-1h-rsi-fixed2,1,-3.4307571606001064,-6.723819822259102,8,1947,190.05256867218367,-23.4727497843224,-0.15481791918766016,2000.0,0.0,3.0,989.5108569622753,30.281879768091702
348,34.195402298850574,1.301310306754801,0.676226753291796,-7.7310084347500565,-26.9039093529303,2.718828099058895,2,550,202,3317.321624578952,-1.000444171950221e-11,-29.693679008427477,-4.592147063691943,H-1h-rsi-fixed2,2,-3.793461368215978,-8.572723233145584,14,2066,153.8472732618183,-29.42719794583609,-0.2245160656540347,2000.0,0.0,3.0,986.899161075319,26.832091700692278
458,36.02620087336245,1.3968978151117608,1.0021223456236543,0.031298161958057104,0.14334558176758438,2.0935589269400245,2,550,92,0.0,-3.12070369545836e-11,-9.589665432574957,0.021488749510822913,H-1h-rsi-adaptive,0,-2.358061577081527,-2.8753781156337532,7,2055,215.5682694561313,-9.432763760249363,0.017307599015574993,2000.0,0.0,3.0,992.1288240559036,20.77080156276746
462,31.818181818181817,1.18102118643481,0.6916737625733747,-4.778795171135641,-22.078033690646603,2.016010684098171,2,550,88,2333.2133495976404,5.4569682106375694e-12,-25.97327746521899,-3.672789154391465,H-1h-rsi-adaptive,1,-2.999443831650628,-7.653963243271599,7,2055,212.10233065114144,-25.858510888729967,-0.16840627234347438,2000.0,0.0,3.0,989.5108569622753,19.948644596670842
455,24.615384615384617,1.0658238153084776,0.44376307551877137,-8.848500907301405,-40.26067912822129,1.904684763195782,2,550,95,3945.7976951092705,1.0459189070388675e-11,-40.73848027434768,-7.43665464498986,H-1h-rsi-adaptive,2,-3.730172664146103,-13.790450987370907,8,2325,202.92918894670015,-40.67159508006783,-0.30227424909718476,2000.0,0.0,3.0,986.899161075319,18.7973179491086
241,43.56846473029046,1.406540775381198,1.0859322162869545,1.447882564941455,3.4893969815088965,1.4095304260582857,1,278,37,0.0,1.1368683772161603e-13,-6.3967601081516,0.5158103975951844,H-1h-div-fixed1.5,0,-1.590682933778842,-2.2890079947152198,7,1594,113.87432385218742,-6.3120384837415,0.05958883259385943,2000.0,0.0,3.0,992.1288240559036,13.984357640762239
